id,Period,Data_value,Series_title_2
483,2019.07,45,Debit card usage as a proportion of total ECT value
484,2019.08,45.2,Debit card usage as a proportion of total ECT value
485,2019.09,44.4,Debit card usage as a proportion of total ECT value
486,2019.10,44.3,Debit card usage as a proportion of total ECT value
487,2019.11,43.2,Debit card usage as a proportion of total ECT value
488,2019.12,43.4,Debit card usage as a proportion of total ECT value
489,2020.01,42.7,Debit card usage as a proportion of total ECT value
490,2020.02,42.9,Debit card usage as a proportion of total ECT value
491,2020.03,42.1,Debit card usage as a proportion of total ECT value
492,2020.04,31.5,Debit card usage as a proportion of total ECT value
493,2020.05,36,Debit card usage as a proportion of total ECT value
494,2020.06,38.9,Debit card usage as a proportion of total ECT value
495,2020.07,40.2,Debit card usage as a proportion of total ECT value
496,2020.08,38.7,Debit card usage as a proportion of total ECT value
497,2020.09,38.7,Debit card usage as a proportion of total ECT value
498,2020.10,38.7,Debit card usage as a proportion of total ECT value
499,2020.11,38.3,Debit card usage as a proportion of total ECT value
500,2020.12,38.7,Debit card usage as a proportion of total ECT value
501,2021.01,38.7,Debit card usage as a proportion of total ECT value
502,2021.02,38.6,Debit card usage as a proportion of total ECT value
503,2021.03,37.9,Debit card usage as a proportion of total ECT value
504,2021.04,38.3,Debit card usage as a proportion of total ECT value
505,2021.05,38,Debit card usage as a proportion of total ECT value
506,2021.06,37.6,Debit card usage as a proportion of total ECT value
507,2021.07,36.9,Debit card usage as a proportion of total ECT value
508,2021.08,34,Debit card usage as a proportion of total ECT value
509,2021.09,32.8,Debit card usage as a proportion of total ECT value
510,2021.10,33.1,Debit card usage as a proportion of total ECT value
511,2021.11,33,Debit card usage as a proportion of total ECT value
512,2021.12,33.8,Debit card usage as a proportion of total ECT value
513,2022.01,33.8,Debit card usage as a proportion of total ECT value
514,2022.02,34.1,Debit card usage as a proportion of total ECT value
515,2022.03,33.4,Debit card usage as a proportion of total ECT value
516,2022.04,33.8,Debit card usage as a proportion of total ECT value
517,2022.05,33.4,Debit card usage as a proportion of total ECT value
518,2022.06,33.3,Debit card usage as a proportion of total ECT value
519,2022.07,33.1,Debit card usage as a proportion of total ECT value
520,2022.08,33.4,Debit card usage as a proportion of total ECT value
521,2022.09,33.1,Debit card usage as a proportion of total ECT value
522,2022.10,32.9,Debit card usage as a proportion of total ECT value
523,2022.11,32.5,Debit card usage as a proportion of total ECT value
524,2022.12,32.7,Debit card usage as a proportion of total ECT value
525,2002.12,44.4,Credit card usage as a proportion of total ECT value
526,2003.03,45.2,Credit card usage as a proportion of total ECT value
527,2003.06,42.8,Credit card usage as a proportion of total ECT value
528,2003.09,42.9,Credit card usage as a proportion of total ECT value
529,2003.12,44.9,Credit card usage as a proportion of total ECT value
530,2004.03,46,Credit card usage as a proportion of total ECT value
531,2004.06,44.3,Credit card usage as a proportion of total ECT value
532,2004.09,44.4,Credit card usage as a proportion of total ECT value
533,2004.12,46,Credit card usage as a proportion of total ECT value
534,2005.03,46.6,Credit card usage as a proportion of total ECT value
535,2005.06,44.6,Credit card usage as a proportion of total ECT value
536,2005.09,44.8,Credit card usage as a proportion of total ECT value
537,2005.12,45.9,Credit card usage as a proportion of total ECT value
538,2006.03,47,Credit card usage as a proportion of total ECT value
539,2006.06,45.1,Credit card usage as a proportion of total ECT value
540,2006.09,45,Credit card usage as a proportion of total ECT value
541,2006.12,46.2,Credit card usage as a proportion of total ECT value
542,2007.03,46.8,Credit card usage as a proportion of total ECT value
543,2007.06,44.5,Credit card usage as a proportion of total ECT value
544,2007.09,44.7,Credit card usage as a proportion of total ECT value
545,2007.12,46.1,Credit card usage as a proportion of total ECT value
546,2008.03,46.6,Credit card usage as a proportion of total ECT value
547,2008.06,44.9,Credit card usage as a proportion of total ECT value
548,2008.09,44.7,Credit card usage as a proportion of total ECT value
549,2008.12,44.7,Credit card usage as a proportion of total ECT value
550,2009.03,44.7,Credit card usage as a proportion of total ECT value
551,2009.06,42.4,Credit card usage as a proportion of total ECT value
552,2009.09,42.5,Credit card usage as a proportion of total ECT value
553,2009.12,43.6,Credit card usage as a proportion of total ECT value
554,2010.03,43.9,Credit card usage as a proportion of total ECT value
555,2010.06,42,Credit card usage as a proportion of total ECT value
556,2010.09,41.8,Credit card usage as a proportion of total ECT value
557,2010.12,42.7,Credit card usage as a proportion of total ECT value
558,2011.03,43,Credit card usage as a proportion of total ECT value
559,2011.06,41.3,Credit card usage as a proportion of total ECT value
560,2011.09,41.3,Credit card usage as a proportion of total ECT value
561,2011.12,42.9,Credit card usage as a proportion of total ECT value
562,2012.03,43,Credit card usage as a proportion of total ECT value
563,2012.06,41.2,Credit card usage as a proportion of total ECT value
564,2012.09,41.3,Credit card usage as a proportion of total ECT value
565,2012.12,42.8,Credit card usage as a proportion of total ECT value
566,2013.03,43,Credit card usage as a proportion of total ECT value
567,2013.06,42.1,Credit card usage as a proportion of total ECT value
568,2013.09,42.2,Credit card usage as a proportion of total ECT value
569,2013.12,43.7,Credit card usage as a proportion of total ECT value
570,2014.03,44.2,Credit card usage as a proportion of total ECT value
571,2014.06,42.5,Credit card usage as a proportion of total ECT value
572,2014.09,42.8,Credit card usage as a proportion of total ECT value
573,2014.12,44.4,Credit card usage as a proportion of total ECT value
574,2015.03,44.9,Credit card usage as a proportion of total ECT value
575,2015.06,43.7,Credit card usage as a proportion of total ECT value
576,2015.09,44.5,Credit card usage as a proportion of total ECT value
577,2015.12,46.1,Credit card usage as a proportion of total ECT value
578,2016.03,46.8,Credit card usage as a proportion of total ECT value
579,2016.06,45.7,Credit card usage as a proportion of total ECT value
580,2016.09,46.4,Credit card usage as a proportion of total ECT value
581,2016.12,48.4,Credit card usage as a proportion of total ECT value
582,2017.03,51.8,Credit card usage as a proportion of total ECT value
583,2017.06,50.7,Credit card usage as a proportion of total ECT value
584,2017.09,51.3,Credit card usage as a proportion of total ECT value
585,2017.12,53,Credit card usage as a proportion of total ECT value
586,2018.03,54.9,Credit card usage as a proportion of total ECT value
587,2018.06,53.7,Credit card usage as a proportion of total ECT value
588,2018.09,54.1,Credit card usage as a proportion of total ECT value
589,2018.12,55.6,Credit card usage as a proportion of total ECT value
590,2019.03,56.5,Credit card usage as a proportion of total ECT value
591,2019.06,55.1,Credit card usage as a proportion of total ECT value
592,2019.09,55.1,Credit card usage as a proportion of total ECT value
593,2019.12,56.4,Credit card usage as a proportion of total ECT value
594,2020.03,57.4,Credit card usage as a proportion of total ECT value
595,2020.06,63.7,Credit card usage as a proportion of total ECT value
596,2020.09,60.8,Credit card usage as a proportion of total ECT value
597,2020.12,61.4,Credit card usage as a proportion of total ECT value
598,2021.03,61.6,Credit card usage as a proportion of total ECT value
599,2021.06,62,Credit card usage as a proportion of total ECT value
600,2021.09,65.2,Credit card usage as a proportion of total ECT value
601,2021.12,66.7,Credit card usage as a proportion of total ECT value
602,2022.03,66.3,Credit card usage as a proportion of total ECT value
603,2022.06,66.5,Credit card usage as a proportion of total ECT value
604,2022.09,66.8,Credit card usage as a proportion of total ECT value
605,2022.12,67.3,Credit card usage as a proportion of total ECT value
606,2002.12,55.6,Debit card usage as a proportion of total ECT value
607,2003.03,54.8,Debit card usage as a proportion of total ECT value
608,2003.06,57.2,Debit card usage as a proportion of total ECT value
609,2003.09,57.1,Debit card usage as a proportion of total ECT value
610,2003.12,55.1,Debit card usage as a proportion of total ECT value
611,2004.03,54,Debit card usage as a proportion of total ECT value
612,2004.06,55.7,Debit card usage as a proportion of total ECT value
613,2004.09,55.6,Debit card usage as a proportion of total ECT value
614,2004.12,54,Debit card usage as a proportion of total ECT value
615,2005.03,53.4,Debit card usage as a proportion of total ECT value
616,2005.06,55.4,Debit card usage as a proportion of total ECT value
617,2005.09,55.2,Debit card usage as a proportion of total ECT value
618,2005.12,54.1,Debit card usage as a proportion of total ECT value
619,2006.03,53,Debit card usage as a proportion of total ECT value
620,2006.06,54.9,Debit card usage as a proportion of total ECT value
621,2006.09,55,Debit card usage as a proportion of total ECT value
622,2006.12,53.8,Debit card usage as a proportion of total ECT value
623,2007.03,53.2,Debit card usage as a proportion of total ECT value
624,2007.06,55.5,Debit card usage as a proportion of total ECT value
625,2007.09,55.3,Debit card usage as a proportion of total ECT value
626,2007.12,53.9,Debit card usage as a proportion of total ECT value
627,2008.03,53.4,Debit card usage as a proportion of total ECT value
628,2008.06,55.1,Debit card usage as a proportion of total ECT value
629,2008.09,55.3,Debit card usage as a proportion of total ECT value
630,2008.12,55.3,Debit card usage as a proportion of total ECT value
631,2009.03,55.3,Debit card usage as a proportion of total ECT value
632,2009.06,57.6,Debit card usage as a proportion of total ECT value
633,2009.09,57.5,Debit card usage as a proportion of total ECT value
634,2009.12,56.4,Debit card usage as a proportion of total ECT value
635,2010.03,56.1,Debit card usage as a proportion of total ECT value
636,2010.06,58,Debit card usage as a proportion of total ECT value
637,2010.09,58.2,Debit card usage as a proportion of total ECT value
638,2010.12,57.3,Debit card usage as a proportion of total ECT value
639,2011.03,57,Debit card usage as a proportion of total ECT value
640,2011.06,58.7,Debit card usage as a proportion of total ECT value
641,2011.09,58.7,Debit card usage as a proportion of total ECT value
642,2011.12,57.1,Debit card usage as a proportion of total ECT value
643,2012.03,57,Debit card usage as a proportion of total ECT value
644,2012.06,58.8,Debit card usage as a proportion of total ECT value
645,2012.09,58.7,Debit card usage as a proportion of total ECT value
646,2012.12,57.2,Debit card usage as a proportion of total ECT value
647,2013.03,57,Debit card usage as a proportion of total ECT value
648,2013.06,57.9,Debit card usage as a proportion of total ECT value
649,2013.09,57.8,Debit card usage as a proportion of total ECT value
650,2013.12,56.3,Debit card usage as a proportion of total ECT value
651,2014.03,55.8,Debit card usage as a proportion of total ECT value
652,2014.06,57.5,Debit card usage as a proportion of total ECT value
653,2014.09,57.2,Debit card usage as a proportion of total ECT value
654,2014.12,55.6,Debit card usage as a proportion of total ECT value
655,2015.03,55.1,Debit card usage as a proportion of total ECT value
656,2015.06,56.3,Debit card usage as a proportion of total ECT value
657,2015.09,55.5,Debit card usage as a proportion of total ECT value
658,2015.12,53.9,Debit card usage as a proportion of total ECT value
659,2016.03,53.2,Debit card usage as a proportion of total ECT value
660,2016.06,54.3,Debit card usage as a proportion of total ECT value
661,2016.09,53.6,Debit card usage as a proportion of total ECT value
662,2016.12,51.6,Debit card usage as a proportion of total ECT value
663,2017.03,48.2,Debit card usage as a proportion of total ECT value
664,2017.06,49.3,Debit card usage as a proportion of total ECT value
665,2017.09,48.7,Debit card usage as a proportion of total ECT value
666,2017.12,47,Debit card usage as a proportion of total ECT value
667,2018.03,45.1,Debit card usage as a proportion of total ECT value
668,2018.06,46.3,Debit card usage as a proportion of total ECT value
669,2018.09,45.9,Debit card usage as a proportion of total ECT value
670,2018.12,44.4,Debit card usage as a proportion of total ECT value
671,2019.03,43.5,Debit card usage as a proportion of total ECT value
672,2019.06,44.9,Debit card usage as a proportion of total ECT value
673,2019.09,44.9,Debit card usage as a proportion of total ECT value
674,2019.12,43.6,Debit card usage as a proportion of total ECT value
675,2020.03,42.6,Debit card usage as a proportion of total ECT value
676,2020.06,36.3,Debit card usage as a proportion of total ECT value
677,2020.09,39.2,Debit card usage as a proportion of total ECT value
678,2020.12,38.6,Debit card usage as a proportion of total ECT value
679,2021.03,38.4,Debit card usage as a proportion of total ECT value
680,2021.06,38,Debit card usage as a proportion of total ECT value
681,2021.09,34.8,Debit card usage as a proportion of total ECT value
682,2021.12,33.3,Debit card usage as a proportion of total ECT value
683,2022.03,33.7,Debit card usage as a proportion of total ECT value
684,2022.06,33.5,Debit card usage as a proportion of total ECT value
685,2022.09,33.2,Debit card usage as a proportion of total ECT value
686,2022.12,32.7,Debit card usage as a proportion of total ECT value
